Subrun Event Type ystart yend ydiff length Eng Michel
193 9644 Pion 92.6246 110.666 18.0414 20.7671 1.09133 0
193 9646 Pion -79.7885 -115.105 35.3168 49.5419 1.02083 0
193 9647 Pion -95.1414 -115.461 20.3192 42.8144 1.11162 0
193 9648 Pion 70.0315 117.332 47.3001 89.2043 1.38462 0
209 10402 Pion -93.8369 -111.541 17.7041 38.7034 1.54212 0
209 10403 Pion 95.1226 101.953 6.83075 61.5902 1.77386 0
209 10404 Pion -111.423 -87.3983 24.0251 42.2264 0.521215 0
209 10407 Pion 18.7966 24.4234 5.62681 29.3382 1.59471 0
209 10409 Pion 72.2517 78.0069 5.7552 42.1571 0.666866 0
209 10410 Pion -83.0256 -94.5083 11.4827 18.1004 0.215684 0
209 10413 Pion -110.685 -55.8161 54.8691 73.0925 1.49233 0
209 10415 Pion 70.3094 30.1294 40.18 49.081 0.288594 0
209 10416 Pion -51.2966 -13.7723 37.5242 59.7995 0.97209 0
209 10417 Pion -65.3543 -40.3423 25.012 34.1737 0.330699 0
209 10418 Pion 58.2568 -43.9445 102.201 134.868 0.929981 0
209 10420 Pion 16.3294 6.26784 10.0615 10.3436 0.960787 0
209 10421 Pion -74.4712 -19.3718 55.0994 93.1615 1.9868 0
209 10422 Pion -23.4859 -55.4492 31.9633 37.4485 0.403119 0
209 10424 Pion 76.944 77.0112 0.0672073 7.01691 0.178797 0
209 10425 Pion 13.8337 -68.3298 82.1635 85.7826 1.03359 0
209 10427 Pion -64.1067 -51.3568 12.7499 31.7723 0.252161 0
209 10428 Pion -30.2862 -23.7869 6.49925 10.4559 0.210962 0
209 10429 Pion -109.341 -77.152 32.1891 33.2521 1.37255 0
209 10434 Pion -57.3249 -51.3566 5.96835 21.6794 1.13188 0
209 10436 Pion 63.2168 64.3256 1.10872 8.59159 1.87271 0
209 10438 Pion -23.8466 1.909 25.7556 29.6419 0.798867 0
209 10439 Pion -9.136 -8.78303 0.352978 8.15635 1.94119 0
209 10440 Pion -13.7733 47.2389 61.0122 70.0456 0.546411 0
209 10441 Pion 18.7395 40.3204 21.5809 26.6503 1.95215 0
209 10443 Pion 14.7239 15.9129 1.18908 8.21758 0.190743 0
209 10444 Pion -19.3835 32.7388 52.1223 87.1662 1.78131 0
209 10445 Pion 112.712 77.2007 35.5109 61.3604 0.406308 0
209 10446 Pion 80.979 68.2041 12.7748 18.9664 1.11184 0
209 10448 Pion 73.1145 63.6216 9.49282 35.9223 0.310105 0
209 10449 Pion 76.6257 117.45 40.8238 46.2693 1.62103 0
209 10450 Pion -112.197 -91.5466 20.6501 27.1634 0.240402 0
232 11553 Pion -71.0817 -58.1396 12.9421 22.869 1.94797 0
232 11554 Pion 117.418 88.7187 28.6989 34.3122 1.79374 0
232 11555 Pion 36.5017 38.6918 2.19012 8.12004 1.24777 0
232 11556 Pion -63.0753 -43.7768 19.2984 29.3601 0.651212 0
232 11560 Pion 31.3362 -43.4936 74.8298 87.1113 1.44127 0
232 11561 Pion -79.2492 -32.4471 46.8021 49.1716 0.414729 0
232 11564 Pion 64.3064 44.8573 19.4492 26.2777 0.311927 0
232 11565 Pion 35.9685 45.8762 9.90776 18.6686 1.33751 0
232 11567 Pion -80.7312 -77.3457 3.38551 18.6506 1.87558 0
232 11569 Pion 1.73823 -2.27706 4.01529 16.7522 0.338103 0
232 11570 Pion -44.8985 -63.1854 18.2869 38.4571 0.37368 0
232 11570 Pion -58.2508 -39.0743 19.1765 37.3664 0.37368 0
232 11570 Pion -63.2893 -54.1204 9.16887 13.7844 0.37368 0
232 11571 Pion 17.2152 78.3807 61.1656 122.537 1.64395 0
232 11572 Pion 15.2935 70.5682 55.2747 87.5955 1.98047 0
232 11576 Pion 57.7293 114.434 56.7046 60.4969 0.81435 0
232 11577 Pion -42.466 -27.7113 14.7547 25.3843 1.63255 0
232 11578 Pion -72.5676 -1.13361 71.434 73.0024 1.4979 0
232 11579 Pion -21.9907 -91.9295 69.9388 104.335 1.63283 0
232 11581 Pion 27.4144 -10.6132 38.0276 72.1495 1.05618 0
232 11582 Pion 87.87 77.6423 10.2277 43.772 0.882967 0
232 11584 Pion 76.0742 100.267 24.1927 86.7337 0.759334 0
232 11585 Pion -67.577 16.1671 83.7441 186.714 1.44191 0
232 11586 Pion 48.6835 117.374 68.6901 72.528 1.05736 0
232 11587 Pion -102.986 -31.1697 71.8167 76.9861 1.06621 0
232 11588 Pion -79.6413 -74.3217 5.31965 13.3554 0.202538 0
232 11592 Pion 117.375 53.9395 63.4357 156.335 0.866423 0
232 11594 Pion 25.2379 67.6763 42.4384 107.924 1.73447 0
232 11595 Pion -58.0007 62.4286 120.429 130.76 1.60919 0
232 11597 Pion -8.36341 -20.4131 12.0497 12.4961 0.592404 0
232 11597 Pion -1.31172 -8.72244 7.41072 12.7111 0.592404 0
234 11651 Pion 40.8576 117.421 76.5637 80.6727 1.19325 0
234 11652 Pion 51.8753 -31.7343 83.6096 107.491 0.614648 0
234 11653 Pion 26.3201 44.6091 18.289 79.6774 1.63143 0
234 11655 Pion 84.1439 68.3036 15.8402 21.0692 1.54661 0
234 11656 Pion -16.359 6.48256 22.8416 52.3316 1.53828 0
234 11659 Pion 5.95778 84.9949 79.0371 114.037 1.26223 0
234 11660 Pion -36.3051 -88.6745 52.3694 123.589 0.718688 0
234 11661 Pion 63.1492 -115.487 178.636 193.012 1.72788 0
234 11664 Pion 91.7448 95.0163 3.27151 17.4004 0.56932 0
234 11665 Pion 21.5651 -41.231 62.7961 97.2293 1.60139 0
234 11666 Pion -22.8341 -72.3368 49.5027 56.374 1.03007 0
234 11668 Pion 93.5963 107.581 13.9852 31.5566 0.56598 0
234 11670 Pion -56.7399 -66.4073 9.66743 108.867 0.785325 0
234 11671 Pion -8.47328 -115.477 107.004 144.696 1.00132 0
234 11673 Pion 96.3737 108.733 12.3591 16.9149 0.793279 0
234 11676 Pion 65.3491 40.7197 24.6294 35.9182 0.261382 0
234 11677 Pion 16.133 87.5344 71.4014 147.333 0.852094 0
234 11681 Pion -30.4657 -32.7684 2.30269 40.4896 1.58246 0
234 11684 Pion -78.562 -36.3865 42.1755 63.0995 0.514718 0
234 11686 Pion -35.6692 -33.7196 1.94957 14.1828 0.405104 0
234 11687 Pion 78.9982 81.5043 2.50608 12.3141 0.437349 0
234 11692 Pion -86.2853 -115.896 29.6106 44.9647 0.961274 0
234 11695 Pion -71.3785 -72.9584 1.57987 1.61282 0.59035 0
234 11696 Pion -52.8298 -47.4577 5.37214 54.6813 0.797727 0
234 11697 Pion -40.4749 -26.7301 13.7448 16.6425 1.26494 0
234 11698 Pion -65.796 -68.5021 2.70613 7.07084 0.459288 0
234 11700 Pion 73.4931 86.049 12.5559 24.2524 0.477979 0
132 6552 Pion -92.2672 -69.4899 22.7773 94.8573 1.29505 0
132 6553 Pion -11.0404 -10.5362 0.504167 24.9435 1.46436 0
132 6554 Pion 58.8038 34.2701 24.5337 74.058 0.76449 0
132 6555 Pion 41.947 21.0627 20.8844 27.5777 0.423133 0
