Subrun Event Type process ystart yend ydiff length Eng Michel
385 19205 Muon 1 42.7002 12.694 30.0062 77.1507 0.303818 0
385 19206 Muon 1 -2.69221 4.54624 7.23844 50.3456 0.843347 0
385 19207 Muon 1 -115.357 24.0851 139.442 158.874 0.640337 0
385 19208 Muon 1 -3.88587 -12.5806 8.69476 57.6021 0.427506 0
385 19208 Muon 1 -3.82362 1.83638 5.66 44.0068 0.427506 0
385 19208 Muon 1 2.02958 4.91107 2.88149 17.7283 0.427506 0
385 19209 Muon 1 40.743 -77.2912 118.034 276.286 1.20152 0
385 19210 Muon 1 -115.465 -80.9993 34.4653 40.1126 0.307388 0
385 19211 Muon 1 -10.8279 84.6138 95.4417 153.379 1.03138 0
385 19212 Muon 1 -45.9097 -47.8805 1.97074 5.20068 0.136649 0
385 19213 Muon 1 117.381 21.5824 95.799 114.002 1.57134 0
385 19214 Muon 1 -42.0331 -15.2295 26.8037 325.399 1.64166 0
385 19215 Muon 1 -113.531 -82.0631 31.4678 95.7164 1.19082 0
385 19215 Muon 1 -113.135 -115.478 2.343 6.8817 1.19082 0
385 19218 Muon 1 45.1554 45.9918 0.836414 265.342 1.53001 0
385 19221 Muon 1 106.898 67.7505 39.1471 61.1257 0.277236 0
385 19222 Muon 1 -11.5172 5.36978 16.887 30.5143 0.991526 0
385 19223 Muon 1 49.2723 -83.661 132.933 204.535 0.583623 0
385 19224 Muon 1 -115.537 -75.2314 40.3052 78.5325 1.5217 0
385 19226 Muon 1 -95.8912 -115.342 19.4504 24.3811 0.392562 0
385 19228 Muon 1 -33.5139 -26.7773 6.7366 220.358 0.929221 0
385 19229 Muon 1 12.444 -11.1363 23.5803 350.706 1.45784 0
385 19230 Muon 1 78.4178 117.41 38.9919 126.14 0.979808 0
385 19231 Muon 1 -53.7936 13.6814 67.4749 341.638 1.88195 0
385 19232 Muon 1 -115.462 53.9329 169.395 176.765 1.83394 0
385 19233 Muon 1 -33.1475 -39.7472 6.59969 7.0375 0.144251 0
385 19234 Muon 1 -3.93082 88.0586 91.9894 284.482 1.33948 0
385 19235 Muon 1 61.6657 -56.0699 117.736 171.171 1.2614 0
385 19237 Muon 1 67.0578 -52.5584 119.616 140.981 0.411086 0
385 19238 Muon 1 70.2652 12.0344 58.2308 88.8295 0.330353 0
385 19239 Muon 1 -24.3397 43.0509 67.3906 290.329 0.752378 0
385 19240 Muon 1 -32.2475 -77.3215 45.074 97.1165 1.44766 0
385 19243 Muon 1 -115.382 -10.9235 104.459 115.777 1.72447 0
385 19245 Muon 1 -42.5667 -43.9588 1.39209 7.14828 0.209557 0
385 19246 Muon 1 56.2476 27.4939 28.7536 83.8311 0.902977 0
385 19248 Muon 1 32.8478 98.5068 65.659 80.8654 0.316021 0
386 19251 Muon 1 -44.6665 -104.047 59.3804 62.8147 0.274614 0
386 19255 Muon 1 -2.08904 -61.6633 59.5743 117.888 1.86143 0
386 19257 Muon 1 13.2566 -5.08088 18.3375 124.059 0.405652 0
386 19261 Muon 1 -72.5549 -12.3838 60.1711 106.169 0.364355 0
386 19263 Muon 1 -54.8702 -24.1289 30.7413 70.3481 1.87614 0
386 19264 Muon 1 117.552 6.76862 110.783 113.594 1.9095 0
386 19265 Muon 1 31.0476 -55.8712 86.9188 122.565 0.398503 0
386 19266 Muon 1 -103.736 -45.3533 58.3828 98.8491 1.50658 0
386 19267 Muon 1 106.648 93.9942 12.6541 33.5112 0.546392 0
386 19269 Muon 1 15.6237 -83.3329 98.9566 136.198 0.433238 0
386 19270 Muon 1 18.9639 -13.6278 32.5918 492.715 1.62638 0
386 19271 Muon 1 117.425 52.0831 65.3416 74.4444 1.47344 0
386 19272 Muon 1 47.0144 -115.487 162.502 222.52 0.861035 0
386 19274 Muon 1 117.367 54.6737 62.6936 102.024 1.09483 0
386 19275 Muon 1 117.426 83.2624 34.1635 43.4058 1.33156 0
386 19276 Muon 1 -65.5949 -43.7412 21.8537 90.1004 1.19251 0
386 19277 Muon 1 -49.0521 -19.169 29.883 223.709 1.66285 0
386 19278 Muon 1 17.4535 89.0164 71.5629 153.952 0.468511 0
386 19279 Muon 1 29.5404 28.1146 1.42577 6.99674 0.143702 0
386 19283 Muon 1 -113.005 -80.2936 32.711 101.731 1.87916 0
386 19284 Muon 1 38.6323 -5.49115 44.1234 225.172 1.21891 0
386 19285 Muon 1 74.5939 11.1993 63.3947 111.02 1.09589 0
